#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.044157 176.552710 40.489712 19.216 18.974 18.778 18.855 18.740 0.021  0.009  0.009  0.012   0.03 768254990807854080 
0.017213 176.332936 40.497490 18.762 18.491 18.240 18.201 18.205 0.017  0.007  0.007  0.009   0.02 768268975221373056 
0.033147 176.332943 40.497495 18.754 18.486 18.239 18.196 18.200 0.017  0.007  0.007  0.009   0.02 768268975221373056 
0.020983 175.284274 47.781708 18.320 18.287 18.051 18.089 18.194 0.014  0.007  0.007  0.009   0.02 787168347457640832 
0.022004 175.284281 47.781708 18.335 18.294 18.060 18.092 18.209 0.014  0.007  0.007  0.009   0.02 787168347457640832 
0.035603 175.780096 47.850494 19.814 19.174 19.007 18.950 18.810 0.036  0.010  0.012  0.015   0.04 787171916564895104 
0.056082 175.780104 47.850490 19.823 19.179 19.025 18.976 18.804 0.036  0.010  0.012  0.015   0.04 787171916564895104 
0.024695 176.129242 47.950331 19.350 19.109 19.007 19.025 18.877 0.027  0.010  0.012  0.019   0.04 787185286808516864 
0.036738 176.129251 47.950327 19.364 19.116 19.005 19.038 18.925 0.026  0.010  0.012  0.017   0.04 787185286808516864 
0.044939 177.359835 40.488466 18.170 18.009 18.054 17.855 17.878 0.012  0.006  0.007  0.008   0.01 768295157341646848 
0.052145 177.359835 40.488470 18.170 18.005 18.054 17.851 17.888 0.012  0.006  0.007  0.008   0.01 768295157341646848 
0.083768 177.232176 40.829532 19.709 18.647 18.336 18.086 17.831 0.032  0.007  0.007  0.008   0.01 768316052358128896 
0.100323 177.232185 40.829534 19.678 18.640 18.335 18.085 17.829 0.032  0.007  0.007  0.008   0.02 768316052358128896 
0.005418 177.150005 41.334991 19.583 18.613 18.198 17.831 17.748 0.029  0.008  0.007  0.007   0.01 768399645306510976 
0.014705 177.150006 41.334994 19.604 18.620 18.202 17.836 17.759 0.028  0.008  0.007  0.007   0.01 768399645306510976 
0.037992 176.913545 41.330777 18.316 18.017 17.917 17.718 17.689 0.013  0.006  0.006  0.007   0.01 768413565295580672 
0.046132 176.913545 41.330781 18.319 18.017 17.918 17.724 17.705 0.013  0.006  0.006  0.007   0.01 768413565295580672 
