#GAIA_ID RA Dec SDSS-u err_SDSS-u SDSS-g err_SDSS-g SDSS-r err_SDSS-r SDSS-i err_SDSS-i SDSS-z err_SDSS-z UKIDSS_Y err_UKIDSS_Y UKIDSS_J err_UKIDSS_J UKIDSS_H err_UKIDSS_H UKIDSS_K err_UKIDSS_K 2MASS_J err_2MASS_J 2MASS_H err_2MASS_H 2MASS_K err_2MASS_K WISE_W1 err_WISE_W1 WISE_W2 err_WISE_W2 WISE_W3 err_WISE_W3 WISE_W4 err_WISE_W4
759976424164813184 173.11190808431445 36.95343657869019 18.99 0.021 18.786 0.008 18.712 0.01 18.543 0.011 18.583 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.215 0.04 13.847 0.037 10.698 0.097 7.996 0.198
759981307543226240 173.01624193690714 37.11745688881686 18.402 0.016 18.077 0.006 17.795 0.006 17.539 0.006 17.628 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.52 0.136 15.493 0.118 15.741 0.221 14.537 0.029 13.134 0.027 9.99 0.054 7.521 0.137
759993058573218816 170.36839869720708 34.544193470174854 17.19 0.013 15.334 0.003 14.477 0.002 14.074 0.002 13.743 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 13.25 0.033 12.613 0.039 12.215 0.033 11.656 0.022 11.755 0.021 11.188 0.145 99.999 99.999
760047686262053248 170.5280424895568 35.15325000651223 18.662 0.019 18.595 0.008 18.342 0.008 18.286 0.01 18.379 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.143 0.034 13.966 0.036 11.632 0.251 8.791 0.421
760103589556459136 170.33406676483824 35.36308342123218 19.349 0.024 19.126 0.01 18.873 0.01 18.787 0.013 18.668 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.734 0.03 13.473 0.031 10.882 0.112 8.855 0.37
760133246306082944 171.02622074514005 35.21920378032805 19.726 0.037 19.629 0.013 19.491 0.016 19.351 0.019 19.089 0.04 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.14 0.053 15.423 0.088 12.085 0.339 99.999 99.999
760179906830750080 171.1178693117751 35.72004837770665 18.893 0.02 18.567 0.008 18.353 0.008 18.216 0.009 17.968 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.092 0.026 13.226 0.028 10.259 0.073 7.776 0.186
760256593471504512 170.78846722063895 36.161741358465214 19.143 0.023 19.084 0.01 19.021 0.011 18.849 0.012 18.689 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.064 0.049 14.745 0.056 11.759 0.259 8.776 0.421
760407879399283712 170.2702724047653 35.888642371923645 19.285 0.024 18.726 0.008 18.368 0.008 18.3 0.01 17.772 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 17.244 0.214 15.859 0.16 14.892 0.109 12.734 0.023 11.562 0.021 8.837 0.027 6.479 0.061
760417023385095040 170.34598034458529 36.04131005644481 20.096 0.043 18.973 0.009 18.837 0.01 18.742 0.012 18.68 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.938 0.044 14.733 0.053 11.192 0.139 8.769 0.351
